city_id,city,listing_id,listing_desc,url,product_code,review_id,user_alias,user_location,review_rating,review_timestamp
g303506,Rio de Janeiro,d11465614,"Summit both Corcovado and Sugar Loaf mountains in the early morning to beat the crowds on this 5-hour tour in Rio de Janeiro. After bright and early pickup from your Rio hotel, travel through the Tijuca National... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11465614-Christ_Redeemer_and_Sugar_Loaf_Mountain_Small_Group_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|bDIxXzIxNTEzUDJfR2ZF,587181305,Nick S,NA,5.0,13/06/2018
g303506,Rio de Janeiro,d11465614,"Summit both Corcovado and Sugar Loaf mountains in the early morning to beat the crowds on this 5-hour tour in Rio de Janeiro. After bright and early pickup from your Rio hotel, travel through the Tijuca National... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11465614-Christ_Redeemer_and_Sugar_Loaf_Mountain_Small_Group_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|bDIxXzIxNTEzUDJfR2ZF,585810165,Monita79,"Santiago, Chile",5.0,07/06/2018
g303506,Rio de Janeiro,d11465614,"Summit both Corcovado and Sugar Loaf mountains in the early morning to beat the crowds on this 5-hour tour in Rio de Janeiro. After bright and early pickup from your Rio hotel, travel through the Tijuca National... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11465614-Christ_Redeemer_and_Sugar_Loaf_Mountain_Small_Group_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|bDIxXzIxNTEzUDJfR2ZF,583160064,Ghazwan A,NA,5.0,27/05/2018
g303506,Rio de Janeiro,d11465614,"Summit both Corcovado and Sugar Loaf mountains in the early morning to beat the crowds on this 5-hour tour in Rio de Janeiro. After bright and early pickup from your Rio hotel, travel through the Tijuca National... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11465614-Christ_Redeemer_and_Sugar_Loaf_Mountain_Small_Group_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|bDIxXzIxNTEzUDJfR2ZF,582160411,vinnibot,"Porthcawl, United Kingdom",5.0,23/05/2018
g303506,Rio de Janeiro,d11454730,Beat the crowds and visit Christ the Redeemer in the early morning on this Viator Exclusive tour. With your local guide and travel to the peak of Corcovado Mountain to view the Christ the Redeemer statue up close.... ,https://www.tripadvisor.com/AttractionProductDetail-g303506-d11454730-Viator_Exclusive_Early_Access_to_Christ_Redeemer_Statue_with_Optional_Sugar_Loaf_Mountain_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|R3NBXzY4MjNHSUdDSFJJU1RfaWVw,595511854,expatsing,"Montreal, Canada",5.0,12/07/2018
g303506,Rio de Janeiro,d11454730,Beat the crowds and visit Christ the Redeemer in the early morning on this Viator Exclusive tour. With your local guide and travel to the peak of Corcovado Mountain to view the Christ the Redeemer statue up close.... ,https://www.tripadvisor.com/AttractionProductDetail-g303506-d11454730-Viator_Exclusive_Early_Access_to_Christ_Redeemer_Statue_with_Optional_Sugar_Loaf_Mountain_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|R3NBXzY4MjNHSUdDSFJJU1RfaWVw,594018471,Scapespot,"Johannesburg, South Africa",5.0,08/07/2018
g303506,Rio de Janeiro,d11454730,Beat the crowds and visit Christ the Redeemer in the early morning on this Viator Exclusive tour. With your local guide and travel to the peak of Corcovado Mountain to view the Christ the Redeemer statue up close.... ,https://www.tripadvisor.com/AttractionProductDetail-g303506-d11454730-Viator_Exclusive_Early_Access_to_Christ_Redeemer_Statue_with_Optional_Sugar_Loaf_Mountain_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|R3NBXzY4MjNHSUdDSFJJU1RfaWVw,581203209,891Karen891,"Chicago, Illinois",1.0,19/05/2018
g303506,Rio de Janeiro,d11454730,Beat the crowds and visit Christ the Redeemer in the early morning on this Viator Exclusive tour. With your local guide and travel to the peak of Corcovado Mountain to view the Christ the Redeemer statue up close.... ,https://www.tripadvisor.com/AttractionProductDetail-g303506-d11454730-Viator_Exclusive_Early_Access_to_Christ_Redeemer_Statue_with_Optional_Sugar_Loaf_Mountain_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|R3NBXzY4MjNHSUdDSFJJU1RfaWVw,575044616,travelgeek630,Michigan,4.0,22/04/2018
g303506,Rio de Janeiro,d11454730,Beat the crowds and visit Christ the Redeemer in the early morning on this Viator Exclusive tour. With your local guide and travel to the peak of Corcovado Mountain to view the Christ the Redeemer statue up close.... ,https://www.tripadvisor.com/AttractionProductDetail-g303506-d11454730-Viator_Exclusive_Early_Access_to_Christ_Redeemer_Statue_with_Optional_Sugar_Loaf_Mountain_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|R3NBXzY4MjNHSUdDSFJJU1RfaWVw,569509638,Kelly K,"Los Angeles, California",5.0,29/03/2018
g303506,Rio de Janeiro,d11466852,"Get an overview of Rio's most important sights during this comprehensive 8.5-hour tour. With a local guide, visit Copacabana beach, Botafogo beach and Palácio Guanabara. Travel through the Tijuca Forest, stopping at... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11466852-Full_Day_City_Tour_Christ_Redeemer_Sugar_Loaf_and_Downtown-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|SmxYXzcyODdQNl9kM2E=,598700030,Hananel H,NA,5.0,22/07/2018
